OTU	8121310M1	8121310M2	8121311M1	8121311M2	8121312M1	8121313M1	8121314M1	8121314M2	8121317M1	8121317M2	812132M1	812132M2	8121320M1	8121321M1	8121322M1	812133M1	812134M1	812136M2	812137M1	812137M2	812138M1	812139M1	812139M2
seq30554	1.0	7.0	2.0	4.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	2.0	1.0	0.0	1.0	0.0	0.0	3.0	0.0	0.0	1.0
seq12468	0.0	5.0	3.0	6.0	4.0	5.0	4.0	6.0	0.0	0.0	0.0	0.0	16.0	12.0	4.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	1.0
seq4591	0.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
seq2943	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
seq1306	2.0	20.0	21.0	45.0	7.0	33.0	13.0	79.0	19.0	40.0	1.0	0.0	99.0	94.0	31.0	0.0	4.0	0.0	6.0	8.0	4.0	2.0	3.0
seq59825	0.0	2.0	0.0	4.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	3.0	3.0	0.0	3.0
seq261	21.0	111.0	28.0	140.0	4.0	144.0	77.0	232.0	56.0	104.0	11.0	41.0	98.0	126.0	48.0	17.0	36.0	1160.0	226.0	703.0	43.0	15.0	54.0
seq302	2.0	10.0	4.0	13.0	1.0	11.0	9.0	35.0	7.0	16.0	0.0	2.0	17.0	13.0	8.0	0.0	1.0	11.0	9.0	48.0	9.0	0.0	4.0
seq40609	1.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	5.0	2.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	1.0	1.0
seq268	3.0	14.0	1.0	10.0	0.0	4.0	4.0	9.0	2.0	9.0	0.0	1.0	14.0	12.0	6.0	0.0	2.0	5.0	5.0	37.0	3.0	0.0	8.0
seq1576	0.0	0.0	0.0	0.0	0.0	1.0	1.0	3.0	1.0	6.0	0.0	0.0	6.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
seq795	3.0	18.0	8.0	11.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	5.0	2.0	1.0	1.0	0.0	1.0	2.0	1.0	4.0	5.0	4.0	5.0
seq33736	0.0	2.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
seq50853	0.0	8.0	1.0	7.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	5.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	3.0	4.0	0.0	5.0
seq4528	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	2.0	2.0	1.0	0.0	1.0	0.0	0.0	2.0	1.0	0.0	1.0
seq4527	3.0	24.0	7.0	17.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	4.0	2.0	0.0	0.0	0.0	3.0	0.0	2.0	3.0	11.0	2.0	8.0
seq486208	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
seq6729	0.0	1.0	0.0	2.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	3.0	1.0	2.0	3.0	1.0	2.0	0.0	1.0	0.0	2.0	0.0	0.0
seq4716	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0
seq80683	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
seq83	405.0	2438.0	695.0	2293.0	177.0	433.0	163.0	463.0	268.0	448.0	955.0	6030.0	820.0	915.0	316.0	728.0	1707.0	49.0	132.0	489.0	509.0	231.0	760.0
seq2269	9.0	45.0	13.0	28.0	0.0	3.0	2.0	12.0	5.0	10.0	0.0	0.0	11.0	10.0	8.0	0.0	2.0	10.0	29.0	100.0	25.0	12.0	25.0
seq5511	1.0	12.0	5.0	9.0	2.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	3.0	24.0	23.0	82.0	9.0	6.0	15.0
seq6314	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	5.0	1.0	0.0	0.0
seq14083	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
seq11423	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0	0.0	0.0
seq4328	0.0	0.0	0.0	2.0	0.0	1.0	1.0	1.0	1.0	4.0	0.0	0.0	22.0	17.0	3.0	0.0	1.0	0.0	1.0	6.0	0.0	0.0	1.0
seq141905	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
seq669	0.0	4.0	5.0	16.0	0.0	13.0	196.0	580.0	634.0	1068.0	0.0	0.0	1187.0	1424.0	469.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0
seq2661	1.0	4.0	0.0	1.0	0.0	0.0	4.0	11.0	4.0	8.0	0.0	0.0	3.0	13.0	3.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0
seq16341	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	1.0	1.0	0.0	0.0	1.0	3.0	2.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0
seq5805	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
seq11304	0.0	0.0	0.0	2.0	0.0	0.0	2.0	7.0	0.0	0.0	0.0	5.0	3.0	2.0	2.0	0.0	0.0	0.0	0.0	4.0	2.0	0.0	0.0
seq4681	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	18.0	105.0	3.0	3.0	0.0	10.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0
seq5164	0.0	3.0	5.0	8.0	0.0	2.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	7.0
seq1161	2.0	0.0	0.0	3.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	3.0	4.0	5.0	1.0	0.0	1.0
seq256	40.0	213.0	68.0	218.0	10.0	25.0	18.0	24.0	17.0	31.0	18.0	109.0	77.0	87.0	34.0	16.0	32.0	20.0	92.0	329.0	220.0	49.0	159.0
seq54706	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
seq17726	1.0	4.0	2.0	6.0	0.0	1.0	4.0	2.0	3.0	6.0	0.0	0.0	23.0	18.0	11.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0	1.0
seq35967	5.0	18.0	9.0	18.0	1.0	0.0	2.0	3.0	0.0	1.0	0.0	4.0	2.0	0.0	0.0	1.0	1.0	0.0	1.0	2.0	4.0	0.0	6.0
seq96250	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
seq38299	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
seq12856	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
seq114839	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
seq9495	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
seq203092	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
seq43113	1.0	3.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	6.0	60.0	0.0	0.0	0.0	12.0	8.0	0.0	1.0	2.0	0.0	0.0	1.0
seq801	0.0	1.0	0.0	3.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	2.0	0.0	0.0	1.0	0.0	2.0	7.0	1.0	0.0	0.0
seq5757	2.0	20.0	6.0	13.0	1.0	9.0	9.0	17.0	0.0	2.0	0.0	2.0	3.0	3.0	3.0	0.0	5.0	1.0	7.0	20.0	2.0	1.0	3.0
seq132059	1.0	1.0	1.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0
seq928	2.0	5.0	1.0	6.0	0.0	9.0	5.0	13.0	7.0	8.0	1.0	6.0	10.0	15.0	3.0	0.0	0.0	5.0	4.0	7.0	3.0	2.0	3.0
seq276631	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
seq17167	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0
seq1293	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0
seq10631	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	5.0	47.0	1.0	4.0	2.0	10.0	8.0	0.0	1.0	1.0	0.0	0.0	0.0
seq5181	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
seq7522	0.0	4.0	0.0	2.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	8.0	1.0	1.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	5.0
seq13478	9.0	33.0	10.0	22.0	4.0	6.0	3.0	10.0	3.0	8.0	0.0	2.0	22.0	30.0	5.0	1.0	3.0	3.0	1.0	2.0	11.0	3.0	7.0
seq2256	1.0	0.0	0.0	1.0	0.0	1.0	5.0	4.0	7.0	3.0	0.0	0.0	9.0	11.0	5.0	0.0	2.0	2.0	1.0	3.0	0.0	0.0	3.0
seq1690	0.0	0.0	0.0	0.0	0.0	2.0	7.0	13.0	4.0	6.0	0.0	0.0	3.0	5.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
seq9555	0.0	0.0	0.0	1.0	0.0	0.0	1.0	6.0	7.0	10.0	0.0	0.0	20.0	46.0	7.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0
seq31130	1.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	111.0	0.0	0.0	1.0	11.0	31.0	0.0	0.0	1.0	0.0	0.0	2.0
seq9421	0.0	2.0	4.0	4.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	9.0	8.0	6.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0
seq10738	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
seq122	19.0	87.0	25.0	73.0	2.0	33.0	136.0	339.0	272.0	427.0	0.0	4.0	732.0	893.0	298.0	0.0	0.0	18.0	14.0	37.0	22.0	12.0	40.0
seq24356	0.0	3.0	1.0	3.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	4.0
seq20063	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	1.0	0.0	0.0	2.0	1.0	0.0	1.0	0.0	0.0	0.0
seq4984	0.0	1.0	1.0	4.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	5.0	9.0	5.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0
seq6973	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	4.0	3.0	1.0	0.0	0.0
seq1195	0.0	6.0	1.0	5.0	1.0	5.0	12.0	23.0	5.0	13.0	1.0	7.0	18.0	25.0	7.0	1.0	3.0	7.0	5.0	11.0	3.0	2.0	7.0
seq20724	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	4.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
seq42198	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
seq931	1.0	3.0	1.0	1.0	0.0	1.0	10.0	30.0	3.0	15.0	0.0	0.0	7.0	13.0	2.0	0.0	0.0	0.0	2.0	6.0	0.0	0.0	1.0
seq138433	2.0	42.0	8.0	26.0	2.0	1.0	0.0	1.0	0.0	0.0	0.0	2.0	1.0	1.0	0.0	0.0	3.0	0.0	0.0	7.0	6.0	2.0	6.0
seq46400	1.0	2.0	0.0	2.0	0.0	0.0	1.0	0.0	1.0	0.0	5.0	10.0	1.0	1.0	0.0	1.0	6.0	0.0	1.0	2.0	1.0	0.0	1.0
seq47058	0.0	2.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0	1.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
seq5740	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
seq278218	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
seq1734	2.0	8.0	4.0	12.0	1.0	3.0	3.0	10.0	3.0	5.0	1.0	1.0	8.0	17.0	9.0	0.0	0.0	0.0	1.0	3.0	3.0	1.0	9.0
seq11403	0.0	11.0	0.0	10.0	0.0	3.0	7.0	28.0	7.0	21.0	1.0	5.0	54.0	58.0	18.0	1.0	5.0	8.0	4.0	11.0	14.0	1.0	3.0
seq6589	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
seq7125	0.0	4.0	0.0	1.0	0.0	2.0	3.0	14.0	4.0	4.0	0.0	2.0	12.0	4.0	1.0	0.0	0.0	1.0	2.0	7.0	1.0	0.0	0.0
seq275526	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
seq331	1.0	0.0	3.0	3.0	0.0	15.0	55.0	171.0	23.0	69.0	0.0	1.0	42.0	53.0	18.0	1.0	1.0	0.0	3.0	1.0	0.0	0.0	3.0
seq266243	0.0	5.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	9.0	1.0	0.0	0.0	0.0	4.0	0.0	0.0	1.0	1.0	0.0	0.0
seq6596	0.0	3.0	0.0	4.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	6.0	1.0	2.0	2.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0
seq8251	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
seq1859	0.0	12.0	7.0	10.0	1.0	3.0	4.0	27.0	73.0	124.0	0.0	0.0	854.0	894.0	355.0	0.0	2.0	0.0	4.0	8.0	4.0	0.0	3.0
seq4081	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
seq1055	0.0	0.0	0.0	0.0	0.0	1.0	3.0	2.0	0.0	4.0	0.0	1.0	6.0	6.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0
seq9521	0.0	4.0	1.0	4.0	1.0	1.0	3.0	4.0	0.0	3.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0
seq8898	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
seq1186	61.0	396.0	94.0	322.0	15.0	28.0	4.0	16.0	4.0	3.0	0.0	16.0	4.0	1.0	0.0	2.0	11.0	27.0	62.0	173.0	213.0	73.0	199.0
seq1187	7.0	48.0	7.0	30.0	3.0	3.0	11.0	18.0	10.0	17.0	0.0	2.0	12.0	23.0	19.0	1.0	6.0	60.0	54.0	137.0	23.0	3.0	17.0
