OTU_ID	M0	M1.5	M10	M11	M12	M13	M14	M15	M16	M17	M19	M20	M21	M22	M3.1	M3.2	M4	M5	M6	M7	M8.1	M8.2	M9	MEB	MSB
ID0000116M	13	5	105	1483	1078	793	531	630	4367	6801	11580	7919	6654	4411	22	22	44	30	12	39	15	27	101	269	0
ID0000117M	1382	650	12	11	7	4	15	9	10	0	10	4	0	3	465	468	237	43	43	34	20	24	7	6	0
ID0000118M	0	0	4	0	0	0	2	4	2	6	26	34	36	572	2	0	6	3	2	5	15	2	20	62	0
ID0000120M	15	54	21	14	16	5	0	2	6	0	0	0	0	0	77	76	338	56	85	14	25	19	30	0	0
ID0000121M	3	1	11896	1379	1055	492	380	267	186	75	59	92	147	47	7	4	47	160	2832	1944	3392	3899	7209	554	0
ID0000122M	0	0	14	7	9	14	20	21	300	1332	4508	6372	4684	3431	10	11	34	30	19	19	45	10	37	760	0
ID0000124M	92	23	415	186	122	62	27	24	9	9	11	6	15	7	65	320	482	119	370	320	390	346	499	9670	9499
ID0000126M	35	17	173	70	56	34	20	13	5	1	1	0	25	0	27	165	259	70	163	182	166	166	189	4700	5379
ID0000127M	149	49	432	178	106	85	39	24	3	10	2	4	24	39	91	285	560	131	486	324	405	361	565	12501	10821
ID0000128M	0	0	0	0	0	1	0	0	0	0	0	0	0	124	0	1	1	4	1	0	0	2	1	0	0
ID0000129M	4382	10524	2511	3980	2059	883	568	462	359	265	93	202	443	372	13162	8262	13564	14842	14973	10752	9690	8737	9413	0	0
ID0000131M	0	0	1923	509	262	45	25	14	11	6	3	15	0	210	0	3	18	27	1442	2741	3068	3458	2015	0	0
ID0000132M	665	433	24	25	8	5	4	3	6	15	4	9	0	28	1204	1355	1310	391	81	43	36	62	61	8	0
ID0000135M	327	192	4	3	3	1	0	2	2	0	6	10	0	2	333	303	266	57	8	0	2	0	11	0	0
ID0000136M	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0
ID0000137M	391	195	413	62	17	4	3	1	0	0	0	0	0	27	259	403	284	295	191	130	291	205	471	73	0
ID0000138M	653	409	28	22	30	31	49	67	80	66	49	70	90	1076	595	256	245	77	38	26	36	17	32	37	0
ID0000139M	5521	2875	6811	6406	5482	3505	3022	2521	2676	2741	2898	2248	2215	1198	7670	6632	7922	6774	4739	5183	5837	7086	8507	540	564
ID0000140M	0	1	8	75	232	731	872	1177	1451	1425	1492	987	588	434	3	2	5	5	5	4	11	4	8	55	0
ID0000142M	2	1	194	2820	2945	4062	3048	3467	6442	8342	8861	5789	5039	1421	1	5	1	32	19	26	36	28	170	24	0
ID0000143M	2408	1227	377	2556	1306	842	566	572	1084	1331	1752	1216	1495	474	1051	1381	656	238	62	39	115	77	341	382	225
ID0000144M	0	0	67	42	19	15	4	8	0	0	0	0	0	0	0	0	4	3	9	25	53	53	38	0	0
ID0000147M	159	372	540	146	246	177	44	15	1	1	50	33	38	12193	1896	2824	3184	4223	3876	2467	2002	1250	2954	127	0
ID0000148M	49	58	10	7	3	3	4	19	3	0	0	0	0	33	367	366	372	712	225	37	12	22	23	68	0
ID0000150M	0	0	0	1	4	21	35	16	556	908	2124	2836	1892	361	0	0	0	0	0	0	0	0	0	83	0
ID0000152M	1160	770	234	222	189	122	162	149	118	53	67	77	108	284	793	562	402	328	272	229	162	192	224	60	0
ID0000153M	17	16	0	0	2	0	0	0	0	0	0	0	0	0	55	79	40	64	14	0	1	1	2	0	0
ID0000154M	84	35	61	31	45	46	53	40	116	128	94	48	90	11	78	79	141	440	222	78	46	51	54	21	0
ID0000156M	1568	1618	359	309	168	94	77	50	103	162	214	209	163	474	1879	2021	1283	966	551	338	433	478	650	0	59
ID0000159M	122	120	110	19	14	1	1	3	1	0	6	0	0	25	428	614	453	353	222	245	100	143	105	77	0
ID0000160M	70	41	3166	2547	2365	1318	797	512	329	124	57	66	33	2	125	60	224	533	1351	1632	1750	2062	3110	0	1
ID0000161M	30	12	139	45	28	24	12	7	4	0	0	0	0	0	19	107	201	42	136	96	110	108	152	3346	3609
ID0000162M	0	0	83	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	11	32	0	0
ID0000163M	0	0	0	0	1	2	1	2	20	48	73	97	130	0	0	0	0	0	0	0	0	0	1	0	0
